"","ax_total","bx_total","ax_clust1","bx_clust1","ax_clust2","bx_clust2","ax_clust3","bx_clust3","ax_clust4","bx_clust4"
"0",-5.77608460054984,-0.00201933820936033,-9.32265676436646,0.0138158786438072,-8.48706535167463,-0.018622544969186,-5.59243054524738,0.0101067017516853,-8.32324344302515,1.0424787068156
"1",-7.7090011297113,0.0229987212561202,-10.7843828405781,0.0160729562267169,-9.29045447533685,0.00206248504942822,-8.77127640753143,0.0138383421560118,-10.9721552739877,-0.27219944954161
"2",-8.08400201862215,0.0263383753434095,-11.2690448011852,0.016131672784012,-9.44661083212169,0.00624975552419404,-9.3285279283654,0.01428876868667,-11.5567170669641,-0.539144388554785
"3",-8.26183145391658,0.0271190492365699,-11.5939260698675,0.0159851745044409,-9.51939662717718,0.0085264313297244,-9.55504635497688,0.0144025001473545,-11.8619982711458,-0.665401557275253
"4",-8.34996472040504,0.0268771799629603,-11.8205616655819,0.0157963703694344,-9.55340104288409,0.0100333804358687,-9.6330613204668,0.0144149852676599,-12.0281493845268,-0.72268028407344
"5",-8.38631452499241,0.0261237268275992,-11.9761989308979,0.0156116809865173,-9.56453307152355,0.0111523150486434,-9.62639495168339,0.0143981405839658,-12.1072075686952,-0.737332272436899
"6",-8.38918676855718,0.0250919884463246,-12.0765009140348,0.0154649025972263,-9.56047407138741,0.0120562488520153,-9.56579379393868,0.0143843058017885,-12.1258284302564,-0.722718992515726
"7",-8.36946367641212,0.0239136322472197,-12.1323776292178,0.0154271827868138,-9.54556999767904,0.0128360484751279,-9.46984755725427,0.014398330021276,-12.1017722868573,-0.68760867408064
"8",-8.33392882353849,0.022666481273365,-12.1514254692997,0.0155459411196832,-9.52253297963937,0.0135447788171526,-9.3501203595377,0.0144548505718211,-12.0465854581114,-0.637665816965978
"9",-8.28699914174764,0.0213982790737075,-12.1390832032158,0.0158452431486339,-9.49317478039474,0.0142157015709907,-9.21405727833035,0.0145614455831885,-11.9678942059433,-0.576619226689688
