"","kt_total","kt_clust1","kt_clust2","kt_clust3","kt_clust4"
"1987",41.0851422726873,-29.3811782360581,14.9519611201308,45.1335771151101,1.67581301386699
"1988",41.8817695880678,-47.3385110140702,18.4996145176966,44.7657623140008,1.62910253986234
"1989",40.7076969335407,4.9828792231753,19.9524980959958,42.5640172378761,1.305462746969
"1990",41.6540042606624,24.3593780889764,26.3789319313023,40.6314558043231,1.36087035024822
"1991",39.4887481490838,36.7933875063745,23.5049736908723,38.987763108495,0.998460670250837
"1992",33.3021784701181,45.6490269598851,18.9276525838889,32.3630453480272,0.596947497472321
"1993",34.3958874691557,53.6344827304417,22.7572862517597,31.3889841219507,0.518166690485998
"1994",29.5155910521445,56.4300201806972,22.013216643596,25.0130130583664,0.0531713269632577
"1995",28.5519805458349,61.5790815894895,23.193408137869,21.9998577996274,0.00607546365493319
"1996",26.1360211858686,60.4147221940879,20.5495448874449,18.7074009204351,0.132708008046354
"1997",22.1988361966901,32.2356853959844,20.0847917952601,14.2617111241867,-0.286865764926509
"1998",2.48579329258764,17.5860586432184,1.41613892803916,13.6733546977126,-0.398862341118026
"1999",2.95293895869978,14.618150660137,6.23902682067788,10.43068145299,0.0393289221077914
"2000",-3.2322891430186,8.74703081861775,-0.712758831234506,3.14994575124757,-0.0723353119093219
"2001",-8.65656139238508,9.71257662395038,-5.18554029443861,-2.31987106139597,-0.126966029935301
"2002",-8.56410207210521,11.6415726589133,-3.52478714771629,-3.95666346698857,-0.0828483284307664
"2003",-5.76780287330295,22.6706385180581,1.78118873134934,-3.76761858887167,0.0372842718062849
"2004",-15.2229039387427,18.3266087150064,-10.0156044521425,-11.7804733489529,-0.179526976614686
"2005",-13.2723307759156,19.0669341075387,-3.88305704333405,-13.2692713336797,-0.2049985767068
"2006",-24.7570018365191,10.0961899440783,-17.8813341392525,-23.1643864848669,-0.443303040685378
"2007",-23.6938112218362,18.4617354027215,-15.6459612217785,-23.9784173750989,-0.2399391177278
"2008",-28.3754168236093,12.2877054588232,-19.328660377141,-29.8541726831878,-0.302859512770738
"2009",-34.0092778873043,-29.6633188747437,-22.1729750219784,-36.6992498972995,-0.653493929122469
"2010",-39.2980313920464,-166.567039621886,-30.0944326483061,-40.2643661994296,-0.579081327321458
"2011",-42.2271385831619,-117.777449494358,-30.0428646239647,-45.1193800168008,-0.765648678553597
"2012",-38.5382703899723,-115.510324784594,-21.183038769545,-44.2709772874631,-1.01241809019822
"2013",-47.9699984879391,-113.510698308117,-34.7242029310791,-50.6413706897395,-1.51194404249993
"2014",-48.5757477049102,-111.274150797807,-33.1085022803765,-52.6136473819188,-1.89141060765741
