"","fc.clust1$e0","fc.clust2$e0","fc.clust3$e0","fc.clust4$e0"
"1",698.59910075581,91.60775727917,103.470314009277,518.767594844288
"2",695.461508376869,91.8023123863839,104.245378307334,540.880246364114
"3",692.339234341353,91.9986732189239,105.035223806436,564.095195414544
"4",689.232230684614,92.1968985774567,105.840321074742,588.468259349469
"5",686.140447689521,92.3970474621436,106.661149878675,614.058010974079
"6",683.063834055592,92.5991790856048,107.498199485806,640.925910929869
"7",680.002337053167,92.8033528854837,108.351968973109,669.136445913193
"8",676.955902664017,93.0096285366133,109.22296754082,698.757272903667
"9",673.924475709632,93.2180659627859,110.111714832122,729.859369572362
"10",670.907999968308,93.4287253481276,111.018741258868,762.517191031065
"11",667.906418282075,93.6416671480787,111.944588333594,796.808833072035
"12",664.919672654381,93.8569520999798,112.889809008023,832.816202032564
"13",661.947704339366,94.0746412332627,113.854968018307,870.625191399296
"14",658.990453923493,94.2947958792479,114.840642237233,910.325865243336
"15",656.04786140022,94.517477680544,115.84742103362,952.012648547665
"16",653.11986623834,94.7427486000494,116.875906639166,995.78452445253
"17",650.20640744455,94.9706709295547,117.92671452295,1041.74523840124
"18",647.307423620765,95.2013072979397,119.00047377387,1090.00350911692
"19",644.422853016631,95.4347206789658,120.097827491237,1140.67324627918
"20",641.552633577681,95.6709743986557,121.21943318378,1193.87377469634
"21",638.696702989498,95.9101321422594,122.365963177335,1249.73006468259
"22",635.854998718227,96.1522579607985,123.538105031446,1308.37296824783
"23",633.027458047788,96.3974162771852,124.736561965175,1369.93946058876
"24",630.214018114026,96.6456718919078,125.96205329236,1434.57288623059
"25",627.414615936099,96.897089988277,127.215314866616,1502.42320900604
"26",624.629188445327,97.1517361372247,128.497099536345,1573.64726486931
"27",621.85767251171,97.4096763016468,129.808177610051,1648.40901632287
"28",619.100004968327,97.6709768402815,131.149337332233,1726.87980698007
"29",616.356122633782,97.9357045111129,132.521385370177,1809.2386144917
"30",613.625962332866,98.2039264742896,133.925147311919,1895.67229972362
"31",610.90946091558,98.4757102945474,135.36146817572,1986.37584967924
"32",608.206555274663,98.751123943123,136.831212931346,2081.55261120692
"33",605.517182361733,99.0302357991485,138.335267033484,2181.41451201089
"34",602.841279202163,99.31311465051,139.874536967622,2286.18226488409
"35",600.1787829088,99.5998296941583,141.449950808737,2396.08555039298
"36",597.529630694607,99.890450535856,143.062458793127,2511.36317245516
"37",594.893759884325,100.185047189344,144.713033903745,2632.26318034685
"38",592.27110792523,100.483690074913,146.402672469391,2759.04294964444
"39",589.661612397048,100.786450017359,148.132394778143,2891.96921342497
"40",587.065211021112,101.093398243305,149.903245705392,3031.31803370596
"41",584.481841668801,101.404606377874,151.716295356873,3177.37470157539
"42",581.911442369334,101.720146440683,153.572639727092,3330.43355272389
"43",579.353951316949,102.040090841146,155.473401373547,3490.79768312025
"44",576.809306877532,102.364512373055,157.419730107165,3658.77854734007
"45",574.277447594734,102.693484208426,159.412803699372,3834.69541953739
"46",571.758312195596,103.027079890573,161.453828606241,4018.87469421075
"47",569.251839595753,103.365373326388,163.544040710155,4211.64900072519
"48",566.757968904214,103.708438777808,165.684706079443,4413.35610197924
"49",564.27663942777,104.056350852426,167.877121746464,4624.33754361719
"50",561.807790675053,104.409184493231,170.122616504599,4844.9370157516
